parent,child
h5,g__Mycoplasma|s__arthritidis
h0,g__Sulfurimonas|s__Candidatus Sulfurimonas marisnigri
119,g__Granulibacter|s__bethesdensis
h6,g__Enterococcus|s__gallinarum
h2,g__Listeria|s__grayi
output,StearicacidStearateOctadecanoateConsumptionimport
h2,g__Desulfuromonas|s__soudanensis
h0,g__Mucilaginibacter|s__xinganensis
h3,g__Fusobacterium|s__sp. NSJ-57
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport,g__Bacillus|s__megaterium
h3,g__Bacillus|s__sp. WP8
h7,g__Glaesserella|s__sp. 15-184
h4,g__Schaalia|s__meyeri
h2,g__Mycoplasma|s__hyosynoviae
h7,g__Geobacillus|s__[Bacillus] caldolyticus
h0,g__Campylobacter|s__blaseri
h8,g__Marivivens|s__sp. JLT3646
h9,g__Gordonia|s__sp. 1D
h4,g__Flavobacterium|s__gilvum
h6,g__Fibrisoma|s__limi
h3,g__Gordonia|s__westfalica
h6,g__Mycobacterium|s__sp. KMS
h7,g__Zymomonas|s__mobilis
h6,g__Rahnella|s__sp. WMR120
h1,g__Pseudomonas|s__sp. SWI36
AcetoneProductionexport,g__Clostridium|s__novyi
h9,g__Mycoavidus|s__cysteinexigens
4-AminobutyrateGABAProductionexport,g__Pseudomonas|s__aeruginosa
h6,g__Mycoavidus|s__cysteinexigens
h5,g__Saccharopolyspora|s__coralli
h9,g__Shewanella|s__sp. Scap07
252,g__Actinomyces|s__israelii
h5,g__Corynebacterium|s__choanis
h0,g__Streptomyces|s__exfoliatus
p__Proteobacteria,g__Pseudomonas|s__cichorii
h4,g__Sphingomonas|s__sp.
h1,g__Sphingomonas|s__sp. CL5.1
h4,g__Pseudactinotalea|s__sp. HY158
h1,g__Pseudomonas|s__sp. DR 5-09
h4,g__Streptomyces|s__cattleya
output,ThiosulfateConsumptionimport
h2,g__Kosakonia|s__sp. CCTCC M2018092
h0,g__Leptotrichia|s__buccalis
h3,g__Nitrosococcus|s__halophilus
h4,g__Achromobacter|s__pestifer
h6,g__Nonlabens|s__dokdonensis
EthanolProductionexport,g__Lactobacillus|s__acidophilus
h8,g__Janthinobacterium|s__svalbardensis
h9,g__Nonlabens|s__dokdonensis
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,g__Acetohalobium|s__arabaticum
h8,g__Pseudomonas|s__sp. L22-9
h4,g__Candidatus Phytoplasma|s__australiense
h6,g__Clostridium|s__septicum
h4,g__Streptococcus|s__sobrinus
h1,g__Polaromonas|s__sp. E10S
h0,g__Plantactinospora|s__sp. BC1
p__Proteobacteria,g__Vibrio|s__tapetis
h3,g__Saliniradius|s__amylolyticus
p__Proteobacteria,g__Vibrio|s__sp. ZWAL4003
h4,g__Sphingomonas|s__daechungensis
h8,g__Paenibacillus|s__xylanilyticus
h8,g__Halomonas|s__sp. BC-M4-5
h3,g__Clostridium|s__beijerinckii
h4,g__Streptomyces|s__cacaoi
h4,g__Campylobacter|s__ureolyticus
h8,g__Massilia|s__sp. NR 4-1
h4,g__Anabaena|s__sp. 90
h1,g__Candidatus Walczuchella|s__monophlebidarum
h4,g__Yoonia|s__vestfoldensis
p__Proteobacteria,g__Alcanivorax|s__sp. NBRC 101098
h0,g__Phytobacter|s__ursingii
11,g__Muricauda|s__sp. 501str8
70,g__Amniculibacterium|s__sp. G2-70
p__Firmicutes,g__Pradoshia|s__sp. D12
h0,g__Streptomyces|s__sp. F2
h1,g__Aggregatibacter|s__segnis
h3,g__Loigolactobacillus|s__Lactobacillus backii
h9,g__Planococcus|s__plakortidis
h0,g__Bacillus|s__paralicheniformis
h1,g__Methylotenera|s__mobilis
HemicelluloseMacromoleculedegradation,g__Bifidobacterium|s__dentium
h0,g__Mycoplasma|s__maculosum
h0,g__Flavobacterium|s__sp. KI723T1
h8,g__Magnetospirillum|s__sp. ME-1
h1,g__Rahnella|s__sp. WMR120
h4,g__Variovorax|s__paradoxus
h8,g__Neisseria|s__sp. 10022
h9,g__Ligilactobacillus|s__Lactobacillus murinus
h9,g__Rhodococcus|s__erythropolis
h4,g__Methanocella|s__arvoryzae
h9,g__Enterobacter|s__sp. 18A13
h0,g__Pelagibaca|s__abyssi
h9,g__Legionella|s__spiritensis
h3,g__Arsenophonus|s__endosymbiont of Aphis craccivora
h2,g__Shewanella|s__marisflavi
h2,g__Ralstonia|s__solanacearum
h3,g__Lentzea|s__guizhouensis
h2,g__Metallosphaera|s__tengchongensis
h6,g__Gordonia|s__alkanivorans
h9,g__Hyphomonas|s__neptunium
h3,g__Syntrophomonas|s__wolfei
h0,g__Micromonospora|s__viridifaciens
h3,g__Acetobacter|s__oryzoeni
h9,g__Acinetobacter|s__sp. 10FS3-1
h1,g__Paraflavitalea|s__soli
h2,g__Sulfurihydrogenibium|s__azorense
h1,g__Spiroplasma|s__syrphidicola
h4,g__Parasphingopyxis|s__sp. CP4
h7,g__Serratia|s__ureilytica
h4,g__Candidatus Planktophila|s__sulfonica
h5,g__Colwellia|s__sp. PAMC 21821
7,g__Methanosphaerula|s__palustris
h7,g__Arcobacter|s__venerupis
h4,g__Thermococcus|s__sp. EXT12c
h2,g__Erwinia|s__piriflorinigrans
h3,g__Campylobacter|s__subantarcticus
h9,g__Corynebacterium|s__jeikeium
h5,g__Marinobacter|s__sp. CP1
h8,g__Nitrospira|s__moscoviensis
h8,g__Aeropyrum|s__pernix
h5,g__Streptomyces|s__sp. CNQ-509
h9,g__Pseudomonas|s__sp. TUM18999
h7,g__Halorhabdus|s__tiamatea
h2,g__Acidothermus|s__cellulolyticus
h4,g__Xylanimicrobium|s__sp. FW10M-9
h8,g__Providencia|s__sneebia
h1,g__Synechococcus|s__sp. PCC 7117
h8,g__Tetragenococcus|s__halophilus
p__Firmicutes,g__Bacillus|s__weihaiensis
h2,g__Lactobacillus|s__sp. BHWM-4
h3,g__Tatumella|s__morbirosei
194,g__Methylomonas|s__denitrificans
h4,g__Xanthomonas|s__hyacinthi
h4,g__Hyphomonas|s__sp. CACIAM 19H1
h5,g__Marinococcus|s__halophilus
h0,g__Nocardia|s__terpenica
h4,g__Hymenobacter|s__sp. BT18
h8,g__Mycolicibacterium|s__phlei
h8,g__Agrobacterium|s__vitis
h9,g__Ephemeroptericola|s__cinctiostellae
h1,g__Amycolatopsis|s__keratiniphila
h0,g__Corynebacterium|s__provencense
h6,g__Pseudomonas|s__resinovorans
p__Proteobacteria,g__Serratia|s__sp. SSNIH1
NitrateConsumptionimport,g__Thiobacillus|s__denitrificans
h2,g__Lactobacillus|s__zeae
p__Proteobacteria,g__Pannonibacter|s__phragmitetus
h4,g__Bacillus|s__sp. ZY-1-1
h5,g__Chitinophaga|s__pinensis
h5,g__Actinomyces|s__sp. oral taxon 897
h1,g__Mycobacterium|s__simiae
h0,g__Kitasatospora|s__sp. NA04385
h4,g__Glutamicibacter|s__mishrai
h4,g__Oscillatoria|s__nigro-viridis
h9,g__Streptomyces|s__sp. RLB1-33
p__Bacteroidetes,g__Hymenobacter|s__nivis
p__Crenarchaeota,g__Caldisphaera|s__lagunensis
h0,g__Vibrio|s__sp. 2521-89
h4,g__Dinoroseobacter|s__shibae
h5,g__Parasaccharibacter|s__apium
h0,g__Thauera|s__chlorobenzoica
h7,g__Synechococcus|s__sp. PCC 6312
h6,g__Mycolicibacter|s__terrae
h2,g__Pseudothermotoga|s__elfii
217,g__Frateuria|s__aurantia
h9,g__Mycolicibacterium|s__arabiense
h7,g__Pseudoalteromonas|s__aliena
h9,g__Lactobacillus|s__amylolyticus
h1,g__Candidatus Hamiltonella|s__defensa
p__Proteobacteria,g__Bradyrhizobium|s__symbiodeficiens
h2,g__Thalassococcus|s__sp. S3
p__Proteobacteria,g__Bartonella|s__sp. WD16.2
h1,g__Veillonella|s__sp. T1-7
h1,g__Candidatus Pelagibacter|s__sp. RS40
h2,g__Sulfurimonas|s__sp. NW10
h2,g__Methyloversatilis|s__sp. RAC08
h6,g__Nocardioides|s__humi
h7,g__Spiroplasma|s__corruscae
h4,g__Blastochloris|s__viridis
h1,g__Klebsiella|s__sp. WP3-S18-ESBL-05
h2,g__Hippea|s__maritima
h3,g__Thermodesulfatator|s__bacterium
h8,g__Sanguibacter|s__keddieii
p__Firmicutes,g__Veillonella|s__rodentium
h4,g__Acinetobacter|s__wanghuae
h8,g__Campylobacter|s__volucris
h8,g__Acidovorax|s__avenae
h7,g__Corynebacterium|s__terpenotabidum
h9,g__Gloeomargarita|s__lithophora
h0,g__Pseudomonas|s__sp. TUM18999
h3,g__Pseudomonas|s__sp. BIOMIG1BAC
h5,g__Halomonas|s__sp. AM6
h2,g__Glaciihabitans|s__sp. INWT7
h4,g__Mycobacterium|s__lacus
h9,g__Bacillus|s__dafuensis
EthanolProductionexport,g__Bifidobacterium|s__catenulatum
h0,g__Actinomyces|s__sp. 299
h6,g__Flavobacterium|s__arcticum
h7,g__Wigglesworthia|s__glossinidia
h0,g__Intestinibaculum|s__porci
h6,g__Streptomyces|s__koyangensis
h7,g__Gardnerella|s__vaginalis
2,g__Synechococcus|s__sp. PCC 7002
ButyrateConsumptionimport,g__Geobacter|s__metallireducens
h9,g__Candidatus Arthromitus|s__sp. SFB-mouse
h4,g__Spiribacter|s__salinus
h5,g__Shewanella|s__violacea
h2,g__Actinomadura|s__amylolytica
h7,g__Desulfosarcina|s__ovata
h9,g__Peptoniphilus|s__harei
h5,g__Sulfitobacter|s__sp. THAF37
h2,g__Candidatus Phycorickettsia|s__trachydisci
h3,g__Streptococcus|s__ratti
p__Bacteroidetes,g__Flavobacterium|s__sp. KP1
h1,g__Planococcus|s__versutus
h6,g__Flavobacterium|s__alkalisoli
h8,g__Flavobacterium|s__kingsejongi
h2,g__Staphylococcus|s__auricularis
h5,g__Xylophilus|s__rhododendri
h8,g__Defluviicoccus|s__vanus
D-GlucoseGlucoseConsumptionimport,g__Bifidobacterium|s__breve
h1,g__Desulfovibrio|s__salexigens
h9,g__Flavobacterium|s__alkalisoli
h6,g__Haliscomenobacter|s__hydrossis
h7,g__Tessaracoccus|s__defluvii
p__Proteobacteria,g__Thermomonas|s__sp. HDW16
h5,g__Nitrosococcus|s__wardiae
h8,g__Paenibacillus|s__mucilaginosus
h7,g__Pseudomonas|s__sp. s211(2017)
h1,g__Auricoccus|s__indicus
h7,g__Helicobacter|s__cinaedi
RaffinoseConsumptionimport,g__Bacteroides|s__thetaiotaomicron
h9,g__Candidatus Phytoplasma|s__Periwinkle leaf yellowing phytoplasma
h0,g__Saccharomonospora|s__viridis
output,184
h0,g__Candidatus Nitrosotalea|s__okcheonensis
h1,g__Haloferax|s__alexandrinus
h2,g__Lactobacillus|s__gasseri
h2,g__Pseudoalteromonas|s__sp. Bsw20308
h9,g__Pseudomonas|s__sp. IzPS59
h4,g__Paenibacillus|s__rhizovicinus
h4,g__Lachnoclostridium|s__phocaeense
h5,g__Dysgonomonas|s__sp. HDW5B
h9,g__Neisseria|s__chenwenguii
h9,g__Cytobacillus|s__kochii
h2,g__Mycoplasma|s__meleagridis
h3,g__Micromonospora|s__sp. L5
h9,g__Shigella|s__sp. LN126
MethanolConsumptionimport,g__Ralstonia|s__pickettii
h7,g__Wolbachia|s__endosymbiont of Drosophila mauritiana
h0,g__Aeromicrobium|s__erythreum
h5,g__Mixta|s__theicola
h4,g__Blautia|s__hansenii
p__Proteobacteria,g__Pantoea|s__ananatis
h4,g__Entomoplasma|s__melaleucae
h5,g__Altererythrobacter|s__mangrovi
h1,g__Elizabethkingia|s__sp. 2-6
h1,g__Paracoccus|s__sp. Arc7-R13
29,g__Photobacterium|s__damselae
h7,g__Neisseria|s__gonorrhoeae
h9,g__Sulfuricaulis|s__limicola
h6,g__Brachyspira|s__pilosicoli
h9,g__Fervidobacterium|s__islandicum
p__Proteobacteria,g__Novosphingobium|s__sp. P6W
h1,g__Stenotrophomonas|s__maltophilia
h7,g__Acinetobacter|s__junii
h0,g__Litorilituus|s__sediminis
h1,g__Sphingomonas|s__sp. AE3
EthanolProductionexport,g__Streptococcus|s__equi
h6,g__Lysinibacillus|s__sp. SGAir0095
h3,g__Thiomonas|s__arsenitoxydans
h8,g__Tamlana|s__sp. UJ94
h8,g__Acidithiobacillus|s__ferrivorans
h9,g__Exiguobacterium|s__sibiricum
h9,g__Aerococcus|s__viridans
h5,g__Nitrosococcus|s__halophilus
h6,g__Treponema|s__denticola
p__Euryarchaeota,g__Salinigranum|s__rubrum
h7,g__Nocardia|s__farcinica
h5,g__Pseudomonas|s__sp. 14181154
h4,g__Hahella|s__sp. KA22
4,g__Lysinibacillus|s__timonensis
h1,g__Streptomyces|s__sp. F8
h1,g__Muriicola|s__sp. MMS17-SY002
h4,g__Rickettsia|s__australis
h6,g__Ammonifex|s__degensii
h8,g__Moraxella|s__osloensis
h3,g__Nesterenkonia|s__sp. NBAIMH1
h7,g__Borreliella|s__Candidatus Borrelia tachyglossi
h9,g__Pulveribacter|s__suum
h9,g__Halomonas|s__hydrothermalis
FormateConsumptionimport,g__Wolinella|s__succinogenes
h0,g__Brevundimonas|s__sp. GW460-12-10-14-LB2
h4,g__Halobellus|s__limi
p__Bacteroidetes,g__Sphingobacterium|s__thalpophilum
p__Proteobacteria,g__Pseudomonas|s__sp. K-62
h1,g__Sinorhizobium|s__fredii
h3,g__Picrophilus|s__torridus
h7,g__Aquiflexum|s__balticum
SulfateSulfuricacidConsumptionimport,g__Desulfotomaculum|s__reducens
h8,g__Pseudomonas|s__sp. URMO17WK12:I11
p__Proteobacteria,g__Alteromonas|s__addita
h7,g__Campylobacter|s__hepaticus
h7,g__Kangiella|s__koreensis
h1,g__Stenotrophomonas|s__sp. SAU14A_NAIMI4_5
h5,g__Desulfohalobium|s__retbaense
CO2Consumptionimportproductionexport,g__Bacteroides|s__uniformis
h2,g__Leclercia|s__sp. LSNIH3
h3,g__Synechococcus|s__sp. A18-40
p__Proteobacteria,g__Wolbachia|s__endosymbiont of Drosophila incompta
h0,g__Mycolicibacterium|s__boenickei
h5,g__Robiginitalea|s__biformata
h4,g__Caulobacter|s__sp. Ji-3-8
h9,g__Erysipelatoclostridium|s__ramosum
h4,g__Clostridium|s__kluyveri
p__Proteobacteria,g__Campylobacter|s__concisus
h3,g__Paraburkholderia|s__terricola
h0,g__Sphingopyxis|s__lindanitolerans
h6,g__Bacillus|s__sp. Y1
h7,g__Sphingomonas|s__sp. HMP9
h3,g__Phascolarctobacterium|s__faecium
h8,g__Burkholderia|s__mallei
h1,g__Skermanella|s__pratensis
h1,g__Klebsiella|s__huaxiensis
h4,g__Sulfurospirillum|s__cavolei
h4,g__Gordonia|s__iterans
h2,g__Halarchaeum|s__sp. CBA1220
h7,g__Dictyoglomus|s__turgidum
h6,g__Shewanella|s__bicestrii
h1,g__Microbacterium|s__hominis
h3,g__Leclercia|s__sp. 119287
h2,g__Methanosarcina|s__sp. WH1
h5,g__Halostagnicola|s__larsenii
h9,g__Staphylococcus|s__vitulinus
p__Euryarchaeota,g__Methanotorris|s__igneus
h9,g__Cryobacterium|s__sp.
p__Elusimicrobia,g__Endomicrobium|s__proavitum
h6,g__Rickettsia|s__conorii
p__Proteobacteria,g__Citrobacter|s__sp. NMI7904_11
h3,g__Corynebacterium|s__halotolerans
h0,g__Endomicrobium|s__Candidatus Endomicrobium trichonymphae
h2,g__Arthrobacter|s__sp. AK-1
h4,g__Rhodanobacter|s__glycinis
p__Firmicutes,g__Anoxybacillus|s__sp. B7M1
h4,g__Polynucleobacter|s__asymbioticus
h3,g__Pseudomonas|s__sp. DR 5-09
h3,g__Acinetobacter|s__radioresistens
h3,g__Pseudomonas|s__sp. S49
h5,g__Malaciobacter|s__Arcobacter marinus
p__Firmicutes,g__Lachnoclostridium|s__phytofermentans
h5,g__Leptospirillum|s__ferrooxidans
169,g__Actinotalea|s__sp. JY-7876
h4,g__Gordonia|s__insulae
h4,g__Opitutus|s__terrae
h5,g__Yersinia|s__similis
h6,g__Mycobacterium|s__canettii
h4,g__Streptomyces|s__viridifaciens
h5,g__Massilia|s__sp. Dwa41.01b
h1,g__Petrocella|s__atlantisensis
h8,g__Longibaculum|s__sp. KGMB06250
h5,g__Labrenzia|s__aggregata
h8,g__Candidatus Blochmannia|s__Blochmannia endosymbiont of Camponotus nipponensis
h5,g__Citrobacter|s__sp. RHBSTW-00821
p__Firmicutes,g__Lysinibacillus|s__varians
SulfateSulfuricacidProductionexport,g__Wolinella|s__succinogenes
h5,g__Synechococcus|s__sp. PCC 7502
h7,g__Geodermatophilus|s__obscurus
h8,g__Geobacillus|s__thermoleovorans
h9,g__Pseudomonas|s__sp. MRSN12121
h1,g__Marinitoga|s__sp. 1137
h6,g__Candidatus Nanopelagicus|s__limnes
h2,g__Yersinia|s__pestis
h8,g__Flavobacterium|s__sp. I3-2
h5,g__Caldimicrobium|s__thiodismutans
h0,g__Bacillus|s__sp. FJAT-14266
h4,g__Ehrlichia|s__muris
h5,g__Halomicronema|s__hongdechloris
h1,g__Coprothermobacter|s__proteolyticus
13,g__Streptococcus|s__oralis
4,g__Paenibacillus|s__sp. FSL R7-0331
h1,g__Haloquadratum|s__walsbyi
h2,g__Agromyces|s__aureus
h4,g__Nitratiruptor|s__labii
h3,g__Achromobacter|s__sp. AONIH1
h6,g__Cobetia|s__sp. L2A1
p__Tenericutes,g__Mesoplasma|s__syrphidae
3,g__Paraprevotella|s__xylaniphila
h9,g__Alcanivorax|s__sp. NBRC 101098
p__Cyanobacteria,g__Rippkaea|s__orientalis
p__Euryarchaeota,g__Halobellus|s__limi
h8,g__Microbacterium|s__endophyticum
h9,g__Paenibacillus|s__brasilensis
H2HydrogenProductionexport,g__Enterococcus|s__casseliflavus
h5,g__Gluconobacter|s__albidus
h4,g__Rhodoferax|s__ferrireducens
h0,g__Methanobacterium|s__sp. MB1
h9,g__Lacibacter|s__sp. S13-6-6
CholicacidCholateProductionexport,g__Bifidobacterium|s__animalis
h5,g__Lentilactobacillus|s__Lactobacillus curieae
h3,g__Paraburkholderia|s__terrae
h7,g__Klebsiella|s__sp. FDAARGOS_511
h1,g__Candidatus Halobonum|s__Halobonum sp. Gai3-2
h2,g__Streptococcus|s__pseudopneumoniae
h0,g__Draconibacterium|s__orientale
h0,g__Wolbachia|s__endosymbiont of Diaphorina citri
h0,g__Nocardioides|s__sp. MC1495
h0,g__Chelatococcus|s__daeguensis
h2,g__Candidatus Annandia|s__Enterobacteriaceae endosymbiont of Plateumaris sericea
h1,g__Aquicella|s__siphonis
h1,g__Nitrosomonas|s__europaea
h5,g__Thermus|s__aquaticus
h4,g__Halanaeroarchaeum|s__sulfurireducens
h5,g__Dickeya|s__solani
h6,g__Polynucleobacter|s__wuianus
h8,g__Streptomyces|s__chromofuscus
h5,g__Leclercia|s__sp. LSNIH3
h1,g__Lactococcus|s__sp. 1JSPR-7
output,51
h1,g__Ephemeroptericola|s__cinctiostellae
h2,g__Bacteroides|s__ovatus
h2,g__Sodalis|s__Candidatus Sodalis pierantonius
p__Proteobacteria,g__Pseudolysobacter|s__antarcticus
h2,g__Thermosulfurimonas|s__marina
h4,g__Pyrococcus|s__furiosus
h0,g__Paeniclostridium|s__sordellii
h9,g__Sporolactobacillus|s__terrae
h2,g__Borreliella|s__bissettii
p__Actinobacteria,g__Streptomyces|s__sp. RLB1-9
p__Firmicutes,g__Halobacillus|s__litoralis
h9,g__Corynebacterium|s__rouxii
h5,g__Candidatus Solibacter|s__usitatus
4,g__Blautia|s__sp. LZLJ-3
113,g__Thiomicrorhabdus|s__indica
h3,g__Arthrospira|s__platensis
h3,g__Janthinobacterium|s__sp. 17J80-10
h4,g__Microbacterium|s__paraoxydans
h6,g__Rhodococcus|s__sp. BH4
h4,g__Spiroplasma|s__tabanidicola
h6,g__Thermococcus|s__kodakarensis
h1,g__Ilumatobacter|s__coccineus
h7,g__Limnohabitans|s__sp. 63ED37-2
h8,g__Burkholderia|s__cepacia
h9,g__Bartonella|s__australis
h9,g__Vibrio|s__azureus
h9,g__Radiobacillus|s__deserti
h7,g__Pyrobaculum|s__neutrophilum
h2,g__Streptococcus|s__suis
h8,g__Pseudomonas|s__fragi
h5,g__Halarcobacter|s__ebronensis
h7,g__Bacillus|s__siamensis
h5,g__Acidipropionibacterium|s__virtanenii
h5,g__Shewanella|s__pealeana
p__Proteobacteria,g__Agrobacterium|s__sp.
h3,g__Geobacter|s__sp. M18
h5,g__Mucilaginibacter|s__sp. G2-14
h3,g__Enterobacter|s__sp. JUb54
TaurochenodeoxycholateConsumptionimport,g__Lactobacillus|s__acidophilus
h2,g__Streptomyces|s__albulus
h5,g__Clostridium|s__tetani
h5,g__Hydrogenophaga|s__pseudoflava
h7,g__Beutenbergia|s__cavernae
h2,g__Candidatus Arthromitus|s__sp. SFB-mouse-NL
h2,g__Pseudomonas|s__synxantha
h6,g__Thermococcus|s__sp. P6
h3,g__Ochrobactrum|s__pseudogrignonense
h5,g__Leptospira|s__interrogans
h0,g__Sphingobacterium|s__lactis
h0,g__Megamonas|s__funiformis
h3,g__Streptococcus|s__marmotae
h5,g__Pseudomonas|s__sp. Os17
h2,g__Microbacterium|s__sp. ABRD_28
h8,g__Dietzia|s__psychralcaliphila
p__Proteobacteria,g__Stenotrophomonas|s__sp. ZAC14A_NAIMI4_1
h6,g__Paraburkholderia|s__sp. SOS3
h1,g__Mycobacterium|s__parmense
h9,g__Cellulomonas|s__sp. Y8
h8,g__Pseudorhodobacter|s__sp. S12M18
h4,g__Entomomonas|s__moraniae
h5,g__Caldicellulosiruptor|s__hydrothermalis
h7,g__Hylemonella|s__gracilis
h0,g__Anaerocolumna|s__sp. CTTW
h4,g__Serinicoccus|s__hydrothermalis
h3,g__Clostridium|s__cochlearium
h4,g__Microbulbifer|s__sp. SH-1
h0,g__Lactiplantibacillus|s__Lactobacillus paraplantarum
p__Proteobacteria,g__Cupriavidus|s__pauculus
p__Proteobacteria,g__Desulfobacterium|s__autotrophicum
h3,g__Anaplasma|s__phagocytophilum
h4,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Donacia bicoloricornis
h4,g__Empedobacter|s__falsenii
h5,g__Mycobacterium|s__sp. JS623
h8,g__Ectothiorhodospira|s__sp. BSL-9
h3,g__Methanosarcina|s__mazei
h6,g__Deinococcus|s__ficus
output,SuccinateProductionexport
h0,g__Yokenella|s__regensburgei
h0,g__Bosea|s__sp. F3-2
h1,g__Curtobacterium|s__pusillum
h3,g__Glutamicibacter|s__sp. ZJUTW
h4,g__Saccharothrix|s__espanaensis
h5,g__Rummeliibacillus|s__stabekisii
h6,g__Arthrobacter|s__crystallopoietes
h3,g__Eikenella|s__corrodens
h7,g__Aequorivita|s__sp. H23M31
p__Firmicutes,g__Bacillus|s__ciccensis
h0,g__Thermoleptolyngbya|s__sp. PKUAC-SCTA183
h8,g__Curtobacterium|s__flaccumfaciens
h0,g__Clostridium|s__scatologenes
h3,g__Leucobacter|s__muris
h1,g__Burkholderia|s__sp. PAMC 28687
h5,g__Duganella|s__sp. GN2-R2
h7,g__Janibacter|s__melonis
h1,g__Rippkaea|s__orientalis
h1,g__Natronomonas|s__sp. C90
h5,g__Halothece|s__sp. PCC 7418
h8,g__Yersinia|s__bercovieri
h9,g__Phenylobacterium|s__sp. HYN0004
h6,g__Streptomyces|s__noursei
h4,g__Magnetococcus|s__marinus
h2,g__Flammeovirga|s__pectinis
h7,g__Lactobacillus|s__amylolyticus
h7,g__Psychrobacter|s__urativorans
h9,g__Pseudoalteromonas|s__aliena
h9,g__Phyllobacterium|s__zundukense
h3,g__Pseudoalteromonas|s__issachenkonii
h5,g__Mycobacterium|s__sp. THAF192
h3,g__Shewanella|s__loihica
h4,g__Erythrobacter|s__sp. THAF29
h2,g__Rippkaea|s__orientalis
h5,g__Corynebacterium|s__ammoniagenes
h7,g__Deinococcus|s__maricopensis
p__Actinobacteria,g__Streptomyces|s__sp. WAC 01438
h2,g__Vibrio|s__cincinnatiensis
h9,g__Thiobacillus|s__sp.
h6,g__Bradyrhizobium|s__canariense
h6,g__Thermotoga|s__caldifontis
h6,g__Stenotrophomonas|s__sp. MYb57
SucroseConsumptionimport,g__Butyrivibrio|s__proteoclasticus
h2,g__Candidatus Methylospira|s__mobilis
h9,g__Phoenicibacter|s__congonensis
h2,g__Enterococcus|s__casseliflavus
h4,g__Chitinophaga|s__sp. XS-30
h1,g__Acinetobacter|s__baylyi
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Streptococcus|s__pyogenes
h2,g__Muribaculum|s__sp. TLL-A4
h3,g__Halomonas|s__sp. PGE1
h9,g__Thioalkalivibrio|s__paradoxus
h7,g__Thermodesulfobium|s__narugense
p__Proteobacteria,g__Burkholderia|s__sp. MSMB1588
h0,g__Bisgaardia|s__hudsonensis
h6,g__Wolbachia|s__endosymbiont of Brugia malayi
h4,g__Mycoplasma|s__sp. OR1901
h7,g__Marinobacter|s__sp. BSs20148
h6,g__Rahnella|s__sp. WMR114
h3,g__Acidovorax|s__monticola
p__Proteobacteria,g__Burkholderia|s__sp. KJ006
h2,g__Cobetia|s__sp. L2A1
h3,g__Acholeplasma|s__oculi
h9,g__Turicibacter|s__sanguinis
h2,g__Dietzia|s__lutea
h1,g__Tenacibaculum|s__maritimum
p__Actinobacteria,g__Streptomyces|s__sp. GF20
h1,g__Muribaculum|s__sp. TLL-A4
p__Actinobacteria,g__Microbacterium|s__endophyticum
h4,g__Thermofilum|s__adornatum
h0,g__Pseudoalteromonas|s__sp. Scap06
h3,g__Anaerobacillus|s__isosaccharinicus
h7,g__Rickettsia|s__raoultii
h3,g__Mycoplasma|s__orale
h6,g__Bifidobacterium|s__actinocoloniiforme
279,g__Janthinobacterium|s__sp. B9-8
h0,g__Aerococcus|s__christensenii
h3,g__Methanoregula|s__formicica
h3,g__Paenibacillus|s__odorifer
h5,g__Truepera|s__radiovictrix
22,g__Megasphaera|s__elsdenii
h8,g__Azoarcus|s__olearius
93,g__Leuconostoc|s__suionicum
h4,g__Prevotella|s__scopos
h3,g__Mycolicibacterium|s__aurum
h1,g__Bacillus|s__sp. CS13
h5,g__Pseudoalteromonas|s__sp. 1_2015MBL_MicDiv
h6,g__Streptomyces|s__fagopyri
h8,g__Sphingobium|s__barthaii
h3,g__Thermoplasma|s__acidophilum
h2,g__Streptomyces|s__sp. CRXT-Y-14
h6,g__Thermococcus|s__barossii
h9,g__Sphingobacterium|s__sp. dk4302
p__Firmicutes,g__Cellulosilyticum|s__lentocellum
p__Cyanobacteria,g__Gloeomargarita|s__lithophora
H2HydrogenProductionexport,g__Bacillus|s__pseudomycoides
h2,g__Bacillus|s__ciccensis
h7,g__Dialister|s__hominis
h7,g__Simplicispira|s__suum
h0,g__Pseudomonas|s__sp. SCB32
h3,g__Mahella|s__australiensis
h2,g__Lentibacillus|s__amyloliquefaciens
h5,g__Dehalobacter|s__sp. DCA
h8,g__Corynebacterium|s__sp. 2019
h1,g__Bartonella|s__sp. A1379B
h6,g__Spirosoma|s__sp. CJU-R4
h6,g__Serratia|s__nematodiphila
h7,g__Wolbachia|s__endosymbiont of Litomosoides sigmodontis
h2,g__Vibrio|s__sp. dhg
1,g__Clostridium|s__aceticum
L-GlutamineD-GlutamineGlutamineConsumptionimport,g__Clostridium|s__sporogenes
h3,g__Thermoanaerobacter|s__pseudethanolicus
h7,g__Yersinia|s__canariae
h2,g__Niastella|s__koreensis
h9,g__Dokdonia|s__sp. PRO95
output,334
p__Cyanobacteria,g__Acaryochloris|s__marina
p__Proteobacteria,g__Wolbachia|s__endosymbiont of Dirofilaria (Dirofilaria) immitis
h9,g__Mariniflexile|s__sp. TRM1-10
h5,g__Bartonella|s__tribocorum
h5,g__Bacillus|s__sp. FJAT-45348
