parent,child
h1,g__Empedobacter|s__brevis
h8,g__Cruoricaptor|s__ignavus
h1,g__Yersinia|s__massiliensis
h5,g__Verrucomicrobium|s__sp. GAS474
h9,g__Carnobacterium|s__inhibens
h0,g__Streptococcus|s__sp. NSJ-72
h9,g__Synechococcus|s__sp. PROS-U-1
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport,g__Clostridium|s__sporogenes
h1,g__Micromonospora|s__chokoriensis
4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport,g__Clostridium|s__acetobutylicum
h4,g__Swingsia|s__sp. F3b2
h0,g__Aeromonas|s__hydrophila
h0,g__Massilia|s__umbonata
h3,g__Thioalkalivibrio|s__sp. K90mix
h3,g__Ferroglobus|s__placidus
h4,g__Acidovorax|s__sp. HDW3
h6,g__Idiomarina|s__sp. X4
k__Bacteria,g__Pseudomonas|s__trivialis
h8,g__Streptomyces|s__griseoviridis
h1,g__Agarivorans|s__gilvus
h4,g__Croceibacter|s__atlanticus
k__Bacteria,g__Anoxybacillus|s__amylolyticus
h5,g__Lactococcus|s__sp. KACC 19320
h9,g__Vibrio|s__aquimaris
h9,g__Pseudonocardia|s__autotrophica
h8,g__Porphyrobacter|s__neustonensis
h2,g__Caulobacter|s__sp. Ji-3-8
h6,g__Pantoea|s__Candidatus Pantoea carbekii
h1,g__Spiribacter|s__sp. 2438
k__Bacteria,g__Kocuria|s__sp. TGY1127_2
9,g__Bacillus|s__thuringiensis
D-XyloseXyloseConsumptionimport,g__Bacteroides|s__xylanisolvens
NH3AmmoniaNH4AmmoniumConsumptionimport,g__Desulfovibrio|s__vulgaris
h5,g__Thermus|s__caldilimi
h6,g__Mycobacterium|s__parmense
k__Bacteria,g__Desulfovibrio|s__hydrothermalis
DNARNAPolynucleotideMacromoleculedegradation,g__Streptococcus|s__anginosus
h1,g__Pantoea|s__dispersa
h4,g__Sulfurimonas|s__Candidatus Sulfurimonas marisnigri
h1,g__Nitrosococcus|s__oceani
h8,g__Pseudomonas|s__sp. ADPe
5,g__Clostridium|s__taeniosporum
h8,g__Minicystis|s__rosea
h4,g__Massilia|s__oculi
h7,g__Klebsiella|s__sp. PO552
h0,g__Microbacterium|s__hominis
h2,g__Actinobacillus|s__pleuropneumoniae
h9,g__Grimontia|s__hollisae
h0,g__Bradyrhizobium|s__symbiodeficiens
h2,g__Intestinibaculum|s__porci
h8,g__Dehalococcoides|s__mccartyi
h5,g__Mucilaginibacter|s__sp. PAMC 26640
h9,g__Actinomyces|s__sp. oral taxon 171
h2,g__Mycobacterium|s__simiae
h4,g__Corynebacterium|s__minutissimum
h1,g__Kosakonia|s__oryzae
h3,g__Novosphingobium|s__sp. KA1
h5,g__Roseivivax|s__sp. THAF30
h5,g__Streptomyces|s__sp. 14R-10
5,g__Clostridium|s__novyi
h4,g__Candidatus Kinetoplastibacterium|s__blastocrithidii
h5,g__Halorubrum|s__trapanicum
h0,g__Pseudomonas|s__amygdali
k__Bacteria,g__Curtobacterium|s__sp. BH-2-1-1
h5,g__Leclercia|s__sp. 29361
h6,g__Streptococcus|s__sobrinus
h8,g__Paraburkholderia|s__phytofirmans
h9,g__Micrococcus|s__sp. 28
h7,g__Campylobacter|s__upsaliensis
h4,g__Algoriphagus|s__sp. Y33
h1,g__Endomicrobium|s__Candidatus Endomicrobium trichonymphae
h1,g__Pseudomonas|s__mosselii
h4,g__Kaistella|s__Chryseobacterium carnis
h5,g__Methylibium|s__petroleiphilum
h9,g__Staphylococcus|s__sp. 17KM0847
h4,g__Desulfofarcimen|s__acetoxidans
h1,g__Spiroplasma|s__tabanidicola
h8,g__Listeria|s__weihenstephanensis
h5,g__Ochrobactrum|s__anthropi
h9,g__Arthrobacter|s__sp.
h4,g__Winogradskyella|s__schleiferi
h1,g__Streptococcus|s__sp. 1643
h1,g__Carnobacterium|s__inhibens
k__Bacteria,g__Hymenobacter|s__sp. BRD67
h2,g__Rickettsia|s__felis
h5,g__Bacteroides|s__thetaiotaomicron
h6,g__Thalassotalea|s__sp. LPB0316
h4,g__Geoalkalibacter|s__subterraneus
h2,g__Kroppenstedtia|s__eburnea
h1,g__Psychroserpens|s__sp. NJDZ02
k__Bacteria,g__Lactobacillus|s__terrae
SulfateSulfuricacidProductionexport,g__Aquifex|s__aeolicus
h2,g__Mycoplasma|s__sp. (ex Biomphalaria glabrata)
h6,g__Corynebacterium|s__ulcerans
h8,g__Corynebacterium|s__humireducens
h6,g__Shewanella|s__denitrificans
h2,g__Verminephrobacter|s__eiseniae
h4,g__Rhizobium|s__rhizoryzae
h5,g__Brevibacillus|s__agri
k__Bacteria,g__Bacillus|s__glycinifermentans
h5,g__Streptomyces|s__phaeolivaceus
h5,g__Candidatus Nitrosocosmicus|s__exaquare
h7,g__Desulfotomaculum|s__reducens
h3,g__Streptococcus|s__pneumoniae
h4,g__Oscillibacter|s__sp. NSJ-62
h6,g__Dietzia|s__psychralcaliphila
h8,g__Actinomyces|s__sp. 432
h9,g__Brucella|s__canis
h4,g__Synechococcus|s__sp. TAK9802
h5,g__Schaalia|s__cardiffensis
h0,g__Pyrobaculum|s__neutrophilum
h5,g__Rhodococcus|s__sp. WAY2
CellobioseConsumptionimport,g__Pyrococcus|s__furiosus
h0,g__Amycolatopsis|s__sp. YIM 10
h0,g__Schaalia|s__meyeri
h6,g__Nocardiopsis|s__gilva
h6,g__Dickeya|s__chrysanthemi
h0,g__Terriglobus|s__saanensis
h0,g__Mycolicibacterium|s__psychrotolerans
h0,g__Antarctobacter|s__heliothermus
h2,g__Cellulomonas|s__flavigena
h6,g__Streptomyces|s__noursei
h2,g__Acinetobacter|s__seifertii
h6,g__Herbaspirillum|s__rubrisubalbicans
h8,g__Allofrancisella|s__frigidaquae
102,g__Corynebacterium|s__casei
h3,g__Mycoplasma|s__mobile
h6,g__Flavobacterium|s__sp. I3-2
h7,g__Anoxybacillus|s__sp. B7M1
k__Bacteria,g__Sphingobium|s__hydrophobicum
k__Bacteria,g__Streptococcus|s__lutetiensis
k__Bacteria,g__Mycolicibacterium|s__thermoresistibile
h9,g__Roseovarius|s__sp. MME-070
h2,g__Sphaerochaeta|s__pleomorpha
h3,g__Staphylococcus|s__cohnii
k__Bacteria,g__Actinobacillus|s__equuli
10,g__Archaeoglobus|s__profundus
h2,g__Burkholderia|s__seminalis
h3,g__Algoriphagus|s__sanaruensis
h4,g__Brachybacterium|s__faecium
h4,g__Streptomyces|s__rectiverticillatus
h4,g__Burkholderia|s__contaminans
h7,g__Myxococcus|s__xanthus
h8,g__Mycobacterium|s__gallinarum
k__Bacteria,g__Halomonas|s__beimenensis
h2,g__Streptococcus|s__sp. KS 6
h0,g__Streptomyces|s__pratensis
h1,g__Sporosarcina|s__sp.
h2,g__Luteibacter|s__rhizovicinus
h3,g__Desulfosporosinus|s__meridiei
h6,g__Nocardia|s__arthritidis
h4,g__Candidatus Nitrosotalea|s__devanaterra
h8,g__Halorubrum|s__sp. T3
h8,g__Pseudomonas|s__putida
h2,g__Mogibacterium|s__diversum
h5,g__Corynebacterium|s__casei
h8,g__Actinomyces|s__viscosus
h5,g__Arthrobacter|s__sp. 68b
h3,g__Rothia|s__terrae
h5,g__Arcobacter|s__cryaerophilus
h5,g__Altererythrobacter|s__dongtanensis
h2,g__Planococcus|s__rifietoensis
h0,g__Sphingopyxis|s__sp. QXT-31
h2,g__Methylomonas|s__denitrificans
h8,g__Pontimonas|s__salivibrio
h8,g__Arthrobacter|s__sp. AK-1
h8,g__Campylobacter|s__sp. CFSAN093227
h7,g__Kitasatospora|s__sp. MMS16-BH015
h2,g__Bordetella|s__genomosp. 6
h8,g__Legionella|s__anisa
h8,g__Gillisia|s__sp. Hel1_33_143
h2,g__Desulfallas|s__gibsoniae
h2,g__Desulfotomaculum|s__reducens
h2,g__Candidatus Nanopelagicus|s__limnes
h6,g__Sphaerotilus|s__natans
h3,g__Dialister|s__hominis
h6,g__Vibrio|s__breoganii
h8,g__Thermococcus|s__peptonophilus
h9,g__Sphingopyxis|s__sp. EG6
329,g__Alteromonas|s__naphthalenivorans
H2HydrogenProductionexport,g__Porphyromonas|s__asaccharolytica
h2,g__Bacteroides|s__intestinalis
k__Bacteria,g__Candidatus Planktophila|s__dulcis
h5,g__Micromonospora|s__sp. 28ISP2-46
h9,g__Arabia|s__massiliensis
h4,g__Aromatoleum|s__aromaticum
k__Bacteria,g__Campylobacter|s__coli
h8,g__Octadecabacter|s__antarcticus
h9,g__Mycobacteroides|s__saopaulense
h6,g__Tepiditoga|s__spiralis
h6,g__Pseudobacter|s__ginsenosidimutans
h0,g__Paenibacillus|s__terrae
h2,g__Streptococcus|s__ferus
h2,g__Micromonospora|s__rifamycinica
h8,g__Pantoea|s__rwandensis
h8,g__Bacillus|s__sp. Y-01
h6,g__Nocardioides|s__euryhalodurans
h6,g__Pseudomonas|s__sp. CT14
h8,g__Oligella|s__urethralis
h6,g__Wolbachia|s__endosymbiont of Chrysomya megacephala
h7,g__Virgibacillus|s__sp. Bac330
h9,g__Sphingomonas|s__koreensis
h3,g__Bacillus|s__infantis
h0,g__Phytobacter|s__diazotrophicus
h7,g__Xylella|s__taiwanensis
h6,g__Corynebacterium|s__rouxii
h9,g__Chlamydia|s__pecorum
k__Bacteria,g__Acidovorax|s__sp. JS42
h5,g__Paenibacillus|s__albus
h2,g__Aeromonas|s__dhakensis
h3,g__Halocella|s__sp. SP3-1
h0,g__Pragia|s__sp. CF-458
h0,g__Malaciobacter|s__Arcobacter molluscorum
h4,g__Limnobacter|s__sp. SAORIC-580
h5,g__Chlamydia|s__sp. S15-834C
h7,g__Streptomyces|s__sp. SUK 48
h7,g__Synechococcus|s__sp. WH 7803
h8,g__Citrobacter|s__sp. RHB35-C17
h6,g__Methylophilus|s__medardicus
L-ThreonineThreonineConsumptionimport,g__Clostridium|s__tetani
h3,g__Polynucleobacter|s__duraquae
93,g__Leuconostoc|s__suionicum
h7,g__Xanthomonas|s__arboricola
h7,g__Bradyrhizobium|s__sp. 1(2017)
h9,g__Mycolicibacterium|s__smegmatis
h9,g__Liberibacter|s__Candidatus Liberibacter asiaticus
h1,g__Levilactobacillus|s__Lactobacillus suantsaii
h5,g__Planococcus|s__faecalis
259,g__Gordonia|s__insulae
h5,g__Neisseria|s__weaveri
h7,g__Virgibacillus|s__sp. MSP4-1
h9,g__Staphylococcus|s__caprae
h1,g__Wolbachia|s__pipientis
k__Bacteria,g__Brachybacterium|s__ginsengisoli
LactoseConsumptionimport,g__Leptotrichia|s__buccalis
h6,g__Geobacillus|s__genomosp. 3
h9,g__Pseudodesulfovibrio|s__piezophilus
h4,g__Thermus|s__caldilimi
h9,g__Planococcus|s__sp. MB-3u-03
h5,g__Rhizobium|s__sp. NXC14
h6,g__Lacunisphaera|s__limnophila
h0,g__Corynebacterium|s__glyciniphilum
h2,g__Lysobacter|s__sp. H21R20
h0,g__Alistipes|s__indistinctus
h4,g__Nonlabens|s__spongiae
h2,g__Caldicellulosiruptor|s__owensensis
h2,g__Yersinia|s__ruckeri
EthanolProductionexport,g__Bifidobacterium|s__animalis
h3,g__Streptomyces|s__sp. S501
h5,g__Nitrosospira|s__lacus
h9,g__Borreliella|s__Candidatus Borrelia tachyglossi
23,g__Euzebyella|s__marina
h5,g__Pantoea|s__sp. 201603H
h4,g__Paraburkholderia|s__graminis
h8,g__Methanocaldococcus|s__infernus
h6,g__Thermococcus|s__sp. 2319x1
8,g__Labrenzia|s__aggregata
k__Bacteria,g__Microlunatus|s__phosphovorus
29,g__Marinomonas|s__mediterranea
h0,g__Gloeobacter|s__cyanobacterium endosymbiont of Epithemia turgida
h3,g__Actinobaculum|s__sp. 313
h2,g__Xylella|s__taiwanensis
k__Bacteria,g__Synechococcus|s__sp. NOUM97013
h0,g__Bacillus|s__mycoides
h4,g__Sphaerospermopsis|s__kisseleviana
h6,g__Comamonas|s__testosteroni
output,253
k__Bacteria,g__Staphylococcus|s__pseudintermedius
h5,g__Sporosarcina|s__sp. P33
h7,g__Pseudomonas|s__sp. ATCC 43928
h4,g__Campylobacter|s__volucris
h9,g__Burkholderia|s__cepacia
h5,g__Pseudomonas|s__cerasi
h8,g__Entomoplasma|s__somnilux
h4,g__Wolbachia|s__endosymbiont of Cimex lectularius
h6,g__Pandoraea|s__apista
h8,g__Streptomyces|s__lavendulae
h9,g__Nitrosomonas|s__sp. Is79A3
h8,g__Erythrobacter|s__gangjinensis
h5,g__Weissella|s__jogaejeotgali
h4,g__Pseudomonas|s__arsenicoxydans
h5,g__Blastochloris|s__tepida
h2,g__Thermaerobacter|s__sp. PB12/4term
h5,g__Microbacterium|s__sp. TPU 3598
h9,g__Flaviflexus|s__salsibiostraticola
k__Bacteria,g__Lactobacillus|s__sp. CBA3606
h1,g__Arthrobacter|s__crystallopoietes
h3,g__Lactococcus|s__lactis
h7,g__Caballeronia|s__sp. SBC2
k__Bacteria,g__Staphylococcus|s__capitis
h6,g__Corynebacterium|s__marinum
h1,g__Flexistipes|s__sinusarabici
h1,g__Staphylococcus|s__sp. SDB 2975
h1,g__Furfurilactobacillus|s__Lactobacillus rossiae
h1,g__Verrucomicrobium|s__spinosum
h7,g__Azoarcus|s__sp. DN11
h7,g__Thermodesulfovibrio|s__yellowstonii
h8,g__Pseudomonas|s__sp. IzPS32d
h9,g__Methyloligella|s__sp. GL2
h0,g__Planomicrobium|s__glaciei
h0,g__Aeromonas|s__veronii
h4,g__Mycoplasma|s__bovigenitalium
h4,g__Halomonas|s__alkaliphila
h1,g__Streptomyces|s__xinghaiensis
h0,g__Thermofilum|s__adornatum
h5,g__Pseudomonas|s__azotoformans
h5,g__Aeromonas|s__sp. ASNIH7
k__Bacteria,g__Sinorhizobium|s__fredii
output,305
h8,g__Streptomyces|s__noursei
h2,g__Polynucleobacter|s__sp. MWH-UH21B
h6,g__Rickettsia|s__monacensis
h5,g__Synechococcus|s__sp. SYN20
h0,g__Mesorhizobium|s__sp. M3A.F.Ca.ET.080.04.2.1
h0,g__Lacticaseibacillus|s__Lactobacillus manihotivorans
k__Bacteria,g__Flagellimonas|s__maritima
h0,g__Sulfurifustis|s__variabilis
h2,g__Corynebacterium|s__minutissimum
h8,g__Yersinia|s__mollaretii
h5,g__Maribius|s__sp. THAF1
h3,g__Trichormus|s__variabilis
h0,g__Neobacillus|s__mesonae
4,g__Limosilactobacillus|s__fermentum
h3,g__Wolbachia|s__endosymbiont of Dirofilaria (Dirofilaria) immitis
h7,g__Thermococcus|s__guaymasensis
h2,g__Kaistella|s__Chryseobacterium carnis
h8,g__Candidatus Nitrosocaldus|s__islandicus
h0,g__Clostridium|s__baratii
h8,g__Micromonospora|s__auratinigra
h9,g__Teredinibacter|s__sp. Bs08
h4,g__Pseudomonas|s__sp. DTU12.3
h0,g__Roseibacterium|s__elongatum
h3,g__Desulfovibrio|s__carbinoliphilus
h2,g__Microbacterium|s__esteraromaticum
h3,g__Acinetobacter|s__guillouiae
h1,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Plateumaris consimilis
h7,g__Massilia|s__sp. Se16.2.3
h6,g__Micavibrio|s__aeruginosavorus
h8,g__Delftia|s__sp. Cs1-4
243,g__Microvirga|s__ossetica
h0,g__Cellulosimicrobium|s__sp. 72-3
87,g__Novosphingobium|s__sp. THN1
h3,g__Mycobacterium|s__florentinum
h5,g__Phyllobacterium|s__sp. 628
DimethylamineConsumptionimport,g__Methanosarcina|s__barkeri
h1,g__Akkermansia|s__glycaniphila
h4,g__Streptococcus|s__sp. FDAARGOS_192
k__Bacteria,g__Formosa|s__agariphila
h2,g__Kosakonia|s__pseudosacchari
Acetoin3-hydroxybutanoneacetylmethylcarbinolR-AcetoinConsumptionimport,g__Pelobacter|s__carbinolicus
k__Bacteria,g__Variovorax|s__sp. PAMC26660
h6,g__Liquorilactobacillus|s__Lactobacillus mali
h1,g__Stenotrophomonas|s__sp. G4
h5,g__Citrobacter|s__sp. RHBSTW-00667
h7,g__Arthrobacter|s__sp. UKPF54-2
h8,g__Vagococcus|s__sp. CF-49
h3,g__Ochrobactrum|s__sp. MT180101
5,g__Anaerotignum|s__propionicum
h2,g__Moorella|s__thermoacetica
h5,g__Natronomonas|s__sp. C90
h8,g__Enterobacter|s__sp. RHBSTW-00994
h8,g__Hydrogenophaga|s__sp. NH-16
h7,g__Rhodococcus|s__sp. PBTS 1
h3,g__Clostridium|s__novyi
h7,g__Burkholderia|s__sp. MBR-1
LactoseConsumptionimport,g__Lactobacillus|s__helveticus
h6,g__Campylobacter|s__mucosalis
h6,g__Planctomyces|s__sp. SH-PL62
h0,g__Caldicellulosiruptor|s__owensensis
h9,g__Achromobacter|s__denitrificans
h4,g__Pandoraea|s__thiooxydans
h0,g__Streptococcus|s__parauberis
h1,g__Streptomyces|s__sp. SCUT-3
h2,g__Thermococcus|s__guaymasensis
145,g__Thermanaeromonas|s__toyohensis
h5,g__Acinetobacter|s__sp. MYb10
h8,g__Streptomyces|s__sp. SirexAA-E
h2,g__Gemmata|s__massiliana
h9,g__Microbulbifer|s__agarilyticus
h8,g__Saccharothrix|s__syringae
h5,g__Bacillus|s__wiedmannii
h9,g__Bartonella|s__sp. 1-1C
h1,g__Synechococcus|s__sp. BIOS-E4-1
h6,g__Corynebacterium|s__callunae
h7,g__Wolbachia|s__endosymbiont of Brugia malayi
35,g__Actinomadura|s__sp. NAK00032
h0,g__Planococcus|s__sp. MB-3u-03
h3,g__Streptomyces|s__dengpaensis
h8,g__Alistipes|s__dispar
k__Bacteria,g__Kocuria|s__palustris
h2,g__Brachybacterium|s__avium
h0,g__Sphingomonas|s__hengshuiensis
h6,g__Rhodococcus|s__sp. NS1
h0,g__Edaphobacter|s__sp. 12200R-103
12,g__Weissella|s__confusa
h9,g__Enterobacter|s__cancerogenus
h9,g__Saccharospirillum|s__mangrovi
h5,g__Candidatus Methylopumilus|s__turicensis
h5,g__Pseudomonas|s__sp. CFSAN084952
h0,g__Candidatus Pelagibacter|s__sp. HIMB1321
h6,g__Rhizobium|s__hidalgonense
h9,g__Hydrogenophaga|s__sp. PAMC20947
output,D-GlucuronicacidD-GlucuronateConsumptionimport
SulfateSulfuricacidConsumptionimport,g__Desulfobacterium|s__autotrophicum
h9,g__Tardiphaga|s__sp. vice304
h3,g__Halobacteriovorax|s__marinus
h6,g__Micromonospora|s__sp. B006
h5,g__Bartonella|s__schoenbuchensis
h7,g__Paenibacillus|s__sp. Y412MC10
h2,g__Jonquetella|s__anthropi
k__Bacteria,g__Lactobacillus|s__sp.
h7,g__Duncaniella|s__dubosii
k__Bacteria,g__Hoyosella|s__subflava
h7,g__Bacillus|s__circulans
h8,g__Salinivibrio|s__kushneri
h9,g__Bifidobacterium|s__pseudolongum
h1,g__Anaerohalosphaera|s__lusitana
h4,g__Thauera|s__sp. K11
h7,g__Stenotrophomonas|s__sp. ESTM1D_MKCIP4_1
h4,g__Cupriavidus|s__malaysiensis
h7,g__Capnocytophaga|s__endodontalis
h9,g__Pseudarthrobacter|s__phenanthrenivorans
k__Bacteria,g__Streptococcus|s__sp. A12
h2,g__Arthrobacter|s__alpinus
h1,g__Clostridium|s__tetani
h2,g__Pseudohalocynthiibacter|s__aestuariivivens
h5,g__Streptacidiphilus|s__sp. PB12-B1b
h5,g__Liberibacter|s__crescens
h1,g__Gynuella|s__sunshinyii
h7,g__Candidatus Nanopelagicus|s__abundans
h9,g__Roseovarius|s__sp. THAF8
h8,g__Flavobacterium|s__sp. KBS0721
h3,g__Pseudomonas|s__alcaliphila
h4,g__Oceanobacillus|s__sp. 160
h2,g__Thermogladius|s__calderae
h4,g__Hahella|s__chejuensis
h0,g__Enterobacter|s__oligotrophicus
h7,g__Gemmata|s__massiliana
11,g__Paenibacillus|s__swuensis
h8,g__Bergeyella|s__cardium
h5,g__Methanobacterium|s__lacus
h0,g__Pseudomonas|s__kribbensis
h5,g__Marinobacter|s__sp. es.042
1,g__Brachybacterium|s__avium
h5,g__Thioalkalivibrio|s__sp. K90mix
h5,g__Wolbachia|s__endosymbiont of Culex quinquefasciatus
h6,g__Polaribacter|s__sp. ALD11
h5,g__Streptococcus|s__porcinus
h7,g__Serratia|s__nematodiphila
output,70
h8,g__Micromonospora|s__echinofusca
NH3AmmoniaNH4AmmoniumProductionexport,g__Mycoplasma|s__bovis
k__Bacteria,g__Acholeplasma|s__palmae
h5,g__Mesorhizobium|s__huakuii
h1,g__Chryseobacterium|s__sp. cx-624
h4,g__Streptomyces|s__sp. CFMR 7
k__Bacteria,g__Streptomyces|s__sp. C8S0
k__Bacteria,g__Bordetella|s__pertussis
h8,g__Halothiobacillus|s__neapolitanus
h2,g__Nitrosomonas|s__eutropha
h9,g__Thermobifida|s__fusca
h5,g__Winogradskyella|s__sp. J14-2
h5,g__Natrinema|s__sp. YPL30
h6,g__Ketobacter|s__alkanivorans
h7,g__Jonquetella|s__anthropi
h9,g__Crinalium|s__epipsammum
D-GlucoseGlucoseConsumptionimport,g__Thermococcus|s__onnurineus
h1,g__Desulfitobacterium|s__hafniense
h9,g__Bordetella|s__flabilis
h4,g__Pseudomonas|s__sp. TKP
h4,g__Desulfocapsa|s__sulfexigens
h5,g__Rahnella|s__aquatilis
h9,g__Microbulbifer|s__aggregans
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,g__Staphylococcus|s__warneri
h9,g__Marinobacterium|s__sp. LSUCC0821
h2,g__Abiotrophia|s__defectiva
h9,g__Shewanella|s__xiamenensis
k__Bacteria,g__Pseudonocardia|s__sp. Gen01
h5,g__Novosphingobium|s__sp. KA1
h8,g__Chromohalobacter|s__salexigens
k__Bacteria,g__Saccharopolyspora|s__endophytica
h3,g__Shewanella|s__frigidimarina
h5,g__Pseudomonas|s__sp. Lz4W
h1,g__Dysosmobacter|s__welbionis
h4,g__Acinetobacter|s__baumannii
h0,g__Shewanella|s__oneidensis
h7,g__Bordetella|s__petrii
h8,g__Sphingomonas|s__sp. sand1-3
h5,g__Saccharophagus|s__degradans
h0,g__Paenibacillus|s__cellulosilyticus
h3,g__Streptomyces|s__luteoverticillatus
h7,g__Parasphingopyxis|s__sp. CP4
h7,g__Pseudomonas|s__sp. SCB32
k__Bacteria,g__Streptomyces|s__sp. GF20
h0,g__Marinovum|s__algicola
h2,g__Nonlabens|s__sp. MJ115
h3,g__Alcanivorax|s__sp. NBRC 101098
h4,g__Moraxella|s__sp. TA144
h6,g__Cellvibrio|s__sp. PSBB023
h8,g__Streptobacillus|s__moniliformis
h6,g__Rhizobium|s__acidisoli
h5,g__Bradyrhizobium|s__sp. WSM471
h2,g__Thermobacillus|s__composti
h2,g__Borreliella|s__bavariensis
h6,g__Tomitella|s__sp. HY188
k__Bacteria,g__Microbacterium|s__sp. Y-01
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,g__Lactobacillus|s__johnsonii
h9,g__Frederiksenia|s__canicola
h9,g__Pantoea|s__rwandensis
h1,g__Streptomyces|s__sp. VN1
h9,g__Bacillus|s__sp. Y-01
h3,g__Geobacillus|s__subterraneus
h5,g__Thermaerobacter|s__marianensis
h3,g__Streptomyces|s__lunaelactis
h7,g__Bacillus|s__subtilis
h2,g__Paludibaculum|s__fermentans
h5,g__Pseudomonas|s__sp. 09C 129
h7,g__Flavobacterium|s__psychrophilum
h2,g__Arthrobacter|s__sp. Chr15
h7,g__Leptospirillum|s__ferrooxidans
h9,g__Liberibacter|s__Candidatus Liberibacter americanus
h7,g__Wolbachia|s__endosymbiont of Drosophila simulans
k__Bacteria,g__Mycoplasma|s__capricolum
h6,g__Bradyrhizobium|s__elkanii
h9,g__Comamonas|s__sp. NLF-7-7
k__Bacteria,g__Sphingomonas|s__sp. SH
h0,g__Brachyspira|s__murdochii
h0,g__Amycolatopsis|s__sp. AA4
h2,g__Streptomyces|s__sp. GBA 94-10
h9,g__Marinobacter|s__adhaerens
151,g__Lactobacillus|s__dextrinicus
k__Bacteria,g__Mycobacterium|s__xenopi
h3,g__Empedobacter|s__stercoris
h5,g__Erwinia|s__Candidatus Erwinia haradaeae
h6,g__Nocardia|s__mangyaensis
h7,g__Pseudomonas|s__sp. BIOMIG1BAC
h8,g__Cutibacterium|s__acnes
h4,g__Achromobacter|s__denitrificans
h8,g__Nostoc|s__sp. 'Lobaria pulmonaria (5183) cyanobiont'
h1,g__Sphingopyxis|s__sp. MG
k__Bacteria,g__Hydrogenophaga|s__crassostreae
UreaConsumptionimport,g__Ureaplasma|s__parvum
h1,g__Rhizobium|s__pusense
h7,g__Rhodospirillum|s__rubrum
h5,g__Xenorhabdus|s__bovienii
h8,g__Raoultella|s__Enterobacteriaceae endosymbiont of Donacia clavipes
H2HydrogenProductionexport,g__Bacillus|s__pseudomycoides
h2,g__Methylomonas|s__sp. DH-1
h1,g__Brevundimonas|s__mediterranea
h2,g__Aeromonas|s__sp. Ne-1
k__Bacteria,g__Aerococcus|s__urinae
196,g__Pantoea|s__alhagi
k__Bacteria,g__Capnocytophaga|s__endodontalis
h8,g__Rhizobium|s__grahamii
k__Bacteria,g__Actinoplanes|s__missouriensis
MenaquinoneVitaminK2Productionexport,g__Staphylococcus|s__haemolyticus
h0,g__Commensalibacter|s__sp. AMU001
h6,g__Halorubrum|s__sp. CBA1229
h7,g__Eikenella|s__exigua
h0,g__Protaetiibacter|s__intestinalis
k__Bacteria,g__Citrobacter|s__sp. RHBSTW-00599
h0,g__Lysinibacillus|s__fusiformis
k__Bacteria,g__Marinobacter|s__sp. LQ44
h9,g__Alteromonas|s__sp. MB-3u-76
h5,g__Geobacter|s__sp. FeAm09
GlycodeoxycholateConsumptionimport,g__Bifidobacterium|s__adolescentis
h8,g__Paraglaciecola|s__psychrophila
h1,g__Vibrio|s__panuliri
k__Bacteria,g__Methylocystis|s__heyeri
h5,g__Paenibacillus|s__baekrokdamisoli
h0,g__Pseudarthrobacter|s__sp. NIBRBAC000502771
h0,g__Klebsiella|s__sp.
h6,g__Veillonella|s__dispar
h4,g__Bacillus|s__albus
h0,g__Pseudomonas|s__granadensis
h1,g__Marichromatium|s__purpuratum
h9,g__Kytococcus|s__sedentarius
h1,g__Deinococcus|s__puniceus
h8,g__Marinomonas|s__sp. SM1966
h0,g__Rhizobium|s__hidalgonense
h1,g__Terasakiella|s__sp. SH-1
h1,g__Rhodococcus|s__sp. M8
h2,g__Acidilobus|s__sp. 7A
185,g__Spiroplasma|s__corruscae
h2,g__Lachnoclostridium|s__sp. YL32
330,g__Komagataeibacter|s__nataicola
h2,g__Cystobacter|s__fuscus
h6,g__Flavobacterium|s__sp. M31R6
h9,g__Aerococcus|s__urinaeequi
h0,g__Pseudomonas|s__sihuiensis
h5,g__Cellulosimicrobium|s__sp. JZ28
h3,g__Gibbsiella|s__quercinecans
h7,g__Methylobacterium|s__sp. 17Sr1-43
FormateConsumptionimport,g__Desulfovibrio|s__desulfuricans
h5,g__Blattabacterium|s__cuenoti
h8,g__Brachybacterium|s__vulturis
h9,g__Mycobacterium|s__stomatepiae
h8,g__Synechococcus|s__sp. TAK9802
AcetateProductionexport,g__Lactobacillus|s__gasseri
h2,g__Arthrobacter|s__sp. YC-RL1
h6,g__Leuconostoc|s__garlicum
k__Bacteria,g__Oxynema|s__sp. AP17
h1,g__Sphingobium|s__sp. YBL2
8,g__Mucilaginibacter|s__ginsenosidivorans
h9,g__Vagococcus|s__sp. HDW17A
h6,g__Mycobacterium|s__sp. KMS
h5,g__Geobacillus|s__sp. WCH70
h4,g__Desulfarculus|s__baarsii
h4,g__Enterobacter|s__cloacae complex sp. FDA-CDC-AR_0132
h7,g__Paraburkholderia|s__phytofirmans
h9,g__Agrobacterium|s__sp. H13-3
h4,g__Methanosphaerula|s__palustris
h5,g__Erwinia|s__piriflorinigrans
h4,g__Weissella|s__jogaejeotgali
